ID,Group1,Group2,p,padj,log2
OTU4988,0.004039024,0.00880091,0.151518435,0.151518435,1.123645874
OTU4712,0.002640129,0.000752617,0.1518651,0.1518651,-1.810621307
OTU130,0.056578348,0.094785331,0.152723432,0.152723432,0.744413763
OTU97,0.020667412,0.01159026,0.152854329,0.152854329,-0.834444792
OTU83,0.462262023,0.04237552,0.152969693,0.152969693,-3.447407859
OTU178,0.025868955,0.048270922,0.153181807,0.153181807,0.899932588
OTU109,0.030862437,0.050273639,0.154532343,0.154532343,0.703950129
OTU182,0.026327068,0.011545669,0.154662346,0.154662346,-1.189195142
OTU896,0.03280121,0.084908197,0.156090683,0.156090683,1.372154806
OTU830,0.004042901,0.011217075,0.157070924,0.157070924,1.472233844
OTU913,0.005573621,0.012884752,0.158447999,0.158447999,1.208978003
OTU384,0.010535358,0.020410807,0.159101611,0.159101611,0.954093969
OTU217,0.080801021,0.041978661,0.160396197,0.160396197,-0.944717383
OTU206,0.001402652,0.007270249,0.160879452,0.160879452,2.373847628
OTU3042,0.002111437,0.010223646,0.160924755,0.160924755,2.275612959
OTU86,0.147414451,0.24211922,0.162205463,0.162205463,0.715839655
OTU411,0.008294257,0.061223333,0.162845283,0.162845283,2.883896851
OTU2399,0.005761297,0.012584332,0.164625927,0.164625927,1.127163177
OTU194,0.035759272,0.014924231,0.165893699,0.165893699,-1.260660745
OTU687,0.004718318,0.009361692,0.16765819,0.16765819,0.988496767
OTU273,0.001367534,0.004387114,0.168114514,0.168114514,1.68169543
OTU1963,0.000925968,0.007958398,0.170457264,0.170457264,3.103444391
OTU208,0.185796785,0.08840674,0.171147854,0.171147854,-1.071497266
OTU31,0.422880351,0.714628161,0.171992283,0.171992283,0.756943239
OTU1151,0.063086408,0.113026827,0.172120859,0.172120859,0.84126413
OTU545,0.122908991,0.064953293,0.172844631,0.172844631,-0.920115872
OTU169,0.047009776,0.016796089,0.178409461,0.178409461,-1.484835437
OTU841,0.024437168,0.011298352,0.179408774,0.179408774,-1.112964756
OTU453,0.003498974,0.013230009,0.18028541,0.18028541,1.918810284
OTU289,0.021389629,0.096397668,0.181012789,0.181012789,2.172086778
OTU256,0.00052484,0.007274613,0.181726437,0.181726437,3.79292152
OTU167,0.003049687,0.001175668,0.182413603,0.182413603,-1.375180178
OTU473,0.002583457,0.012407475,0.183527686,0.183527686,2.263835006
OTU68,0.042401708,0.105827526,0.183978886,0.183978886,1.31952065
OTU325,0.013589471,0.002844284,0.184390653,0.184390653,-2.256351868
OTU77,0.518374657,0.344336165,0.185294063,0.185294063,-0.590177476
OTU89,0.208920178,0.317725605,0.187307365,0.187307365,0.60482952
OTU1419,0.020662864,0.038296652,0.188915774,0.188915774,0.890178054
OTU207,0.033406134,0.022018921,0.189156358,0.189156358,-0.601369218
OTU310,0.103817886,0.237859173,0.190049286,0.190049286,1.196052638
OTU346,0.00736943,0.013785954,0.190443226,0.190443226,0.903574113
OTU615,0.002987055,0.011573798,0.190719112,0.190719112,1.954066652
OTU125,0.061720633,0.015087048,0.19232405,0.19232405,-2.032442329
OTU808,0.011206192,0.021002972,0.192371346,0.192371346,0.906297343
OTU1592,0.000391577,0.001617472,0.194518423,0.194518423,2.046373885
OTU493,0.010308251,0.025859869,0.195118483,0.195118483,1.3269154
OTU3141,0.020250583,0.005485143,0.198504332,0.198504332,-1.884362341
OTU1113,0.013164334,0.005770679,0.198556996,0.198556996,-1.189821446
OTU3283,0.011556512,0.022558818,0.19883414,0.19883414,0.964985471
OTU257,0.002206749,0.000451694,0.199626258,0.199626258,-2.288506324
OTU62,0.168394481,0.662453472,0.199799202,0.199799202,1.975974276
OTU235,0.008669539,0.004087244,0.199938922,0.199938922,-1.084826828
OTU4469,0.004187615,0.020643297,0.2009877,0.2009877,2.301472683
OTU1459,0.004596947,0.019158929,0.202564126,0.202564126,2.059268938
OTU368,0.001081025,0.000267938,0.203604415,0.203604415,-2.012430119
OTU186,0.076171196,0.012735991,0.203697304,0.203697304,-2.580334378
OTU85,0.096654411,0.307983684,0.203798053,0.203798053,1.671946441
OTU46,0.35406675,0.098595347,0.204163204,0.204163204,-1.8444299
OTU1,6.372967253,2.902771369,0.205685423,0.205685423,-1.134534302
OTU1049,0.006977897,0.024665022,0.206695819,0.206695819,1.821602456
OTU401,0.003625074,0.024147836,0.207926171,0.207926171,2.735811574
OTU59,0.311952097,0.70141735,0.209687676,0.209687676,1.16894861
OTU311,0.03569056,0.075448507,0.212155266,0.212155266,1.07994981
OTU448,0.000547131,0.011282165,0.214277039,0.214277039,4.366014111
OTU344,0.002918305,0.010610429,0.214727283,0.214727283,1.862280355
OTU348,0.203282167,0.133418723,0.215119168,0.215119168,-0.60752252
OTU3522,0.000952061,0.006842097,0.215911938,0.215911938,2.845312143
OTU35,0.13987711,0.598393728,0.216343515,0.216343515,2.096935162
OTU281,0.049739018,0.074069104,0.21905296,0.21905296,0.574493848
OTU4366,0.023608325,0.012949535,0.219100756,0.219100756,-0.866395401
OTU145,0.00726042,0.003536208,0.219412993,0.219412993,-1.037849936
OTU108,0.01999036,0.035021603,0.220057129,0.220057129,0.808940634
OTU608,0.019425924,0.009921751,0.221353798,0.221353798,-0.969316618
OTU2988,0.02318896,0.036403241,0.222623716,0.222623716,0.650628797
OTU226,0.007415945,0.013890392,0.222774877,0.222774877,0.905384788
OTU185,0.024958778,0.039477761,0.223285683,0.223285683,0.661492859
OTU414,0.09802037,0.137738699,0.223863435,0.223863435,0.490780454
OTU370,0.000651556,0.000254584,0.224708605,0.224708605,-1.355748347
OTU586,0.001327642,0.002675514,0.2249739,0.2249739,1.010949927
OTU154,0.037777219,0.014548362,0.226161934,0.226161934,-1.376659751
OTU220,0.039780613,0.017908192,0.226623544,0.226623544,-1.151445831
OTU869,0.007291607,0.018491585,0.22720346,0.22720346,1.342560103
OTU861,0.093102212,0.023989983,0.227802471,0.227802471,-1.956383299
OTU428,0.002683714,0.021938192,0.228011367,0.228011367,3.031141724
OTU3237,0.029558714,0.054616483,0.230402175,0.230402175,0.885752881
OTU246,0.007096884,0.023218524,0.232672487,0.232672487,1.710018512
OTU212,0.00291482,0.007837677,0.232972563,0.232972563,1.427019401
OTU50,0.108225486,0.159743649,0.233202196,0.233202196,0.561718295
OTU5193,0.002417991,0.000986432,0.233918809,0.233918809,-1.293516594
OTU170,0.055257987,0.10084297,0.234692719,0.234692719,0.8678556
OTU322,0.018224592,0.005625069,0.236499046,0.236499046,-1.695943737
OTU92,0.107025636,0.161993839,0.236641117,0.236641117,0.59798254
OTU260,0.002821071,0.000637056,0.23768379,0.23768379,-2.146750548
OTU654,0.00271115,0.000252979,0.23858319,0.23858319,-3.421815144
OTU759,0.003305541,0.00549451,0.238606009,0.238606009,0.733104393
OTU3556,0.006322162,0.002211216,0.239101506,0.239101506,-1.515578212
OTU121,0.065938665,0.025931286,0.240012096,0.240012096,-1.346430938
OTU57,0.371759109,0.026331227,0.240263323,0.240263323,-3.819521451
OTU314,0.000842036,0.009330743,0.24053751,0.24053751,3.47003841
OTU40,0.40209547,0.571761501,0.240863908,0.240863908,0.507875398
OTU1007,0.006389506,0.013512887,0.241324253,0.241324253,1.080559503
OTU78,0.13469638,0.205274556,0.243664064,0.243664064,0.607843729
OTU236,0.013326798,0.023932569,0.244595079,0.244595079,0.84464513
OTU403,0.002242,0.004950442,0.245566416,0.245566416,1.142771269
OTU1238,0.00129948,0.000401075,0.245659509,0.245659509,-1.695991387
OTU429,0.016089013,0.006043766,0.246844996,0.246844996,-1.412556058
OTU372,0.012455165,0.052727677,0.247194857,0.247194857,2.081816358
OTU288,0.015085101,0.024378706,0.250354832,0.250354832,0.692497149
OTU5,8.294741662,10.72330806,0.251785695,0.251785695,0.37048108
OTU158,0.01292481,0.02082258,0.25190699,0.25190699,0.688005707
OTU181,0.033071672,0.01111111,0.25484275,0.25484275,-1.573593016
OTU393,0.00444927,0.009098945,0.256046072,0.256046072,1.032130646
